Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float
Terry Rozier,54,54,34.1,7.5,16.0,.468,3.4,8.3,.405,4.1,7.7,.535,2.4,2.9,.819,0.6,3.7,4.3,3.9,1.3,0.4,1.9,1.7,20.7,NBA,  CHA,PG, 26 ,"$18,900,000  ",18900000.0
Ricky Rubio,56,41,26.3,2.8,7.2,.380,0.9,2.9,.305,1.9,4.3,.432,2.0,2.4,.856,0.4,2.8,3.2,6.7,1.4,0.1,1.8,2.1,8.4,NBA,  MIN,PG, 29 ,"$17,000,000  ",17000000.0
D'Angelo Russell,30,19,27.6,6.8,15.4,.441,2.9,7.0,.412,3.9,8.4,.464,2.7,3.3,.800,0.4,2.1,2.5,5.1,1.0,0.4,2.8,1.8,19.2,NBA,  MIN,SG, 24 ,"$29,331,375  ",29331375.0
Domantas Sabonis,53,53,35.7,7.5,14.4,.520,0.8,2.6,.302,6.7,11.8,.568,4.1,5.6,.731,2.5,9.1,11.6,6.0,1.1,0.5,3.4,3.4,19.9,NBA,  IND,PF, 24 ,"$18,725,000  ",18725000.0
Dennis Schröder,54,54,31.8,5.4,12.3,.434,1.1,3.3,.343,4.2,9.0,.467,3.6,4.2,.843,0.5,3.0,3.5,5.5,1.2,0.2,2.7,2.6,15.4,NBA,  LAL,PG, 27 ,"$17,500,000  ",17500000.0
Pascal Siakam,47,47,35.6,7.5,16.6,.454,1.2,4.3,.285,6.3,12.3,.513,4.7,5.6,.839,1.7,5.6,7.2,4.7,1.1,0.7,2.1,3.3,20.9,NBA,  TOR,PF, 26 ,"$34,226,304  ",34226304.0
Ben Simmons,48,48,33.3,5.7,10.4,.545,0.1,0.2,.300,5.6,10.2,.550,3.4,5.5,.615,1.7,6.0,7.6,7.1,1.6,0.6,3.3,3.1,14.8,NBA,  PHI,PG, 24 ,"$35,448,672  ",35448672.0
Marcus Smart,38,35,32.6,4.3,10.4,.411,2.1,5.8,.355,2.2,4.7,.480,2.8,3.6,.788,0.7,2.7,3.3,5.6,1.5,0.5,1.8,2.5,13.5,NBA,  BOS,PG, 26 ,"$12,999,975  ",12999975.0
Karl-Anthony Towns,38,38,34.2,8.6,17.6,.490,2.5,6.2,.400,6.1,11.4,.539,5.1,5.8,.874,2.7,8.2,10.9,4.6,0.7,1.4,3.2,3.6,24.8,NBA,  MIN,C, 24 ,"$31,650,600  ",31650600.0
Myles Turner,47,47,31.0,4.4,9.2,.477,1.5,4.4,.335,2.9,4.8,.606,2.4,3.0,.782,1.3,5.2,6.5,1.0,0.9,3.4,1.4,3.5,12.6,NBA,  IND,C, 24 ,"$20,000,000  ",20000000.0
Fred VanVleet,46,46,36.1,6.4,16.3,.391,3.3,9.0,.369,3.1,7.3,.418,3.4,3.8,.886,0.6,3.5,4.1,6.1,1.7,0.8,1.9,2.4,19.4,NBA,  TOR,PG, 26 ,"$21,250,000  ",21250000.0
Kemba Walker,37,37,31.4,6.1,15.2,.401,2.8,8.0,.345,3.4,7.2,.464,2.8,3.0,.937,0.3,3.6,3.9,5.1,1.1,0.3,2.1,1.4,17.8,NBA,  BOS,PG, 30 ,"$35,197,650  ",35197650.0
John Wall,39,39,32.0,7.3,18.1,.403,2.0,6.2,.322,5.3,11.8,.446,3.8,5.2,.743,0.4,2.8,3.2,6.7,1.1,0.7,3.5,1.1,20.4,NBA,  HOU,PG, 30 ,"$42,782,880  ",42782880.0
Russell Westbrook,51,51,35.6,8.2,18.9,.436,1.3,4.1,.310,6.9,14.7,.471,3.9,6.3,.620,1.7,9.5,11.1,10.9,1.3,0.4,5.1,2.8,21.6,NBA,  WAS,PG, 31 ,"$41,358,814  ",41358814.0
Andrew Wiggins,59,59,32.9,6.8,14.5,.472,2.0,5.2,.379,4.9,9.3,.524,2.4,3.5,.701,1.0,3.8,4.8,2.3,1.0,0.9,1.8,2.2,18.1,NBA,  GSW,SF, 25 ,"$29,542,010  ",29542010.0
Justise Winslow,18,0,20.6,3.0,8.6,.348,0.3,2.3,.122,2.7,6.3,.430,0.6,1.0,.556,0.7,3.7,4.4,1.8,0.7,0.4,1.7,1.9,6.8,NBA,  MEM,SF, 24 ,"$13,000,000  ",13000000.0
Christian Wood,36,36,31.9,8.1,15.3,.529,1.8,4.8,.380,6.3,10.6,.596,2.9,4.6,.628,1.7,7.6,9.3,1.5,0.9,1.3,1.8,2.1,20.9,NBA,  HOU,PF, 25 ,"$13,666,667  ",13666667.0
Thaddeus Young,54,17,24.1,5.5,9.6,.574,0.2,0.6,.265,5.4,9.0,.596,1.0,1.6,.631,2.4,3.8,6.2,4.2,1.1,0.6,2.0,2.4,12.2,NBA,  CHI,PF, 32 ,"$14,545,000  ",14545000.0
Cody Zeller,37,20,21.2,3.6,6.7,.540,0.1,0.7,.120,3.5,6.0,.587,1.6,2.2,.735,2.6,4.4,7.0,1.9,0.6,0.4,1.0,2.4,9.0,NBA,  CHA,C, 27 ,"$14,000,000  ",14000000.0
DeWanna Bonner,22,22,732,6.7,16.0,0.42200000000000004,1.2,4.9,0.252,5.5,11.1,0.496,5.0,5.6,0.895,1.5,6.3,7.8,3.0,1.7,0.5,2.4,2.1,19.7,WNBA,  CON,F,33,"$224,870  ",
Skylar Diggins-Smith,22,22,675,5.8,12.2,0.474,2.1,5.3,0.397,3.7,6.9,0.5329999999999999,4.1,4.5,0.9,0.5,2.8,3.3,4.2,0.9,0.5,3.2,2.3,17.7,WNBA,  PHX,G,30,"$224,870  ",
Diana Taurasi,19,19,533,5.1,12.4,0.409,3.2,8.8,0.365,1.8,3.6,0.515,5.4,5.9,0.912,0.1,4.1000000000000005,4.2,4.5,1.0,0.4,2.3,2.7,18.7,WNBA,  PHX,G,38,"$224,772  ",
Natasha Howard,22,22,463,4.0,7.5,0.53,0.3,0.9,0.35,3.6,6.5,0.556,1.3,1.6,0.778,2.4,4.699999999999999,7.1,1.0,1.7,0.6,2.1,3.0,9.5,WNBA,  NY,F,29,"$224,675  ",
Brittney Griner,12,12,382,7.3,14.6,0.49700000000000005,0.0,0.1,0.0,7.3,14.5,0.5,3.2,3.9,0.809,1.5,6.0,7.5,3.0,0.3,1.8,2.5,2.5,17.7,WNBA,  PHX,C,30,"$221,515  ",
Sue Bird,11,11,257,3.7,7.5,0.494,2.1,4.5,0.469,1.6,3.1,0.529,0.3,0.4,0.75,0.1,1.5999999999999999,1.7,5.2,0.6,0.2,1.6,0.8,9.8,WNBA,  SEA,G,40,"$221,450  ",
Alyssa Thomas,21,21,689,5.8,11.6,0.5,0.0,0.0,0.0,5.8,11.6,0.502,3.9,5.6,0.6859999999999999,1.9,7.1,9.0,4.8,2.0,0.3,2.5,2.8,15.5,WNBA,  CON,F,29,"$209,000  ",
Courtney Vandersloot,22,22,693,4.9,9.9,0.491,1.4,3.5,0.395,3.5,6.5,0.542,2.5,2.9,0.889,0.5,3.0,3.5,10.0,1.2,0.4,2.5,2.1,13.6,WNBA,  CHI,G,32,"$203,000  ",
Allie Quigley,22,22,631,5.9,13.1,0.44799999999999995,2.1,6.0,0.34600000000000003,3.8,7.0,0.535,1.5,1.7,0.919,0.3,2.6,2.9,2.4,0.6,0.3,1.3,1.4,15.4,WNBA,  CHI,G,34,"$197,000  ",
Kayla McBride,22,22,587,4.1,9.6,0.425,1.1,3.3,0.342,3.0,6.3,0.46799999999999997,3.2,3.5,0.897,0.4,1.9,2.3,2.4,1.2,0.1,1.4,1.4,12.5,WNBA,  MIN,G,28,"$196,267  ",
Aerial Powers,6,6,179,5.3,11.5,0.46399999999999997,1.5,4.3,0.34600000000000003,3.8,7.2,0.535,4.2,5.0,0.833,0.3,4.5,4.8,2.5,1.5,0.0,1.8,2.7,16.3,WNBA,  MIN,F,27,"$196,267  ",
Betnijah Laney,22,22,738,6.5,13.5,0.48100000000000004,1.4,3.4,0.405,5.1,10.1,0.507,2.8,3.4,0.8270000000000001,1.1,3.8000000000000003,4.9,4.0,1.6,0.1,3.0,2.5,17.2,WNBA,  NY,G,27,"$196,267  ",
Chelsea Gray,22,22,679,5.5,12.5,0.442,0.8,2.7,0.305,4.7,9.9,0.479,2.1,2.2,0.9390000000000001,0.7,3.0,3.7,5.3,1.5,0.1,2.7,1.7,14.0,WNBA,  LV,G,28,"$193,409  ",
Nneka Ogwumike,18,18,476,5.3,9.3,0.569,0.5,1.0,0.5,4.8,8.3,0.5770000000000001,2.3,2.7,0.8370000000000001,1.2,3.5999999999999996,4.8,1.7,1.1,0.2,1.6,2.3,13.3,WNBA,  LA,F,30,"$193,409  ",
Candace Parker,22,22,665,5.6,11.0,0.51,0.9,2.2,0.396,4.8,8.9,0.5379999999999999,2.6,3.5,0.731,1.7,7.999999999999999,9.7,4.6,1.2,1.2,2.9,2.3,14.7,WNBA,  CHI,F,35,"$192,500  ",
Cheyenne Parker,20,13,497,4.9,8.8,0.5539999999999999,0.8,1.6,0.469,4.1,7.2,0.573,2.9,3.4,0.853,2.4,4.0,6.4,1.5,1.3,0.9,2.8,3.2,13.4,WNBA,  ATL,F,28,"$190,550  ",
Bria Hartley,13,3,322,5.1,12.1,0.42,1.9,5.0,0.385,3.2,7.1,0.446,2.5,3.2,0.805,0.4,2.5,2.9,4.5,1.2,0.0,2.1,2.5,14.6,WNBA,  PHX,G,28,"$190,517  ",
Jasmine Thomas,19,19,485,4.0,9.9,0.40399999999999997,1.1,3.3,0.33299999999999996,2.9,6.6,0.44,1.1,1.2,0.9129999999999999,0.2,1.5,1.7,4.0,1.3,0.3,2.4,1.6,10.2,WNBA,  CON,G,31,"$188,333  ",
Courtney Williams,20,14,615,6.7,15.4,0.436,0.4,1.7,0.235,6.3,13.7,0.462,0.8,1.2,0.696,1.9,5.300000000000001,7.2,3.2,0.7,0.1,2.7,2.0,14.6,WNBA,  ATL,G,26,"$187,750  ",
